A,B,C,D,E,F,G,H
1,14.54,19,360.25,-77.0356,-25.0304,-81,-61
27,118.23,15,280.18,29.5316,23.9142,8,-46
39,166.48,1,-0.02,28.2567,6.52358,-81,45
23,102.39,12,220.22,-57.4854,-23.2256,-16,43
3,22.22,17,320.29,-60.2218,-66.883,63,-58
22,98.13,3,40.47,-41.0822,-8.73228,82,82
23,102.06,12,220.14,9.71243,5.16418,57,82
2,18.52,38,740.48,1.33826,1.48629,92,-92
4,26.09,11,200.56,32.1796,30.0079,-75,-64
10,50.2,37,720.4,12.2873,8.60364,-46,45
2,18.36,23,440.42,71.2361,44.5132,5,4
24,106.26,18,340.52,29.9552,46.1269,-84,-45
26,114.35,17,320.29,19.9172,16.7125,-31,-5
13,62.23,6,100.03,47.3304,12.6821,-70,50
6,34.15,18,340.24,78.1951,38.1383,2,41
18,82.53,17,320.52,-27.28,-29.2541,22,-1
23,101.99,35,680.34,12.6786,27.1892,81,77
8,42.39,21,400.47,60.6963,45.7379,-23,-47
